rep_genome	genome	gtdb_r220_taxonomy	study	sample_id	Asia	Europe	Hadza	NorthAmerica	Tsimane	total_mag_count
CAG_628_sp000438415__Hadza_MoBio_hadza_E_H_K_24_1920	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_24_1920.311	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-628;s__CAG-628 sp000438415	Hadza	Hadza_MoBio_hadza-E-H_K_24_1920	0	2	22	1	12	37
CAG_611_sp900552235__Hadza_MoBio_hadza_E_H_K_7_1773	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_7_1773.269	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-611;s__CAG-611 sp900552235	Hadza	Hadza_MoBio_hadza-E-H_K_7_1773	0	1	23	0	7	31
CAG_533_sp000434495__Hadza_MoBio_hadza_E_H_N_19_2137	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_N_19_2137.188	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-533;s__CAG-533 sp000434495	Hadza	Hadza_MoBio_hadza-E-H_N_19_2137	0	8	10	0	5	23
Caccovivens_sp900753315__Hadza_MoBio_hadza_E_H_O_22_1935	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_O_22_1935.213	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__Caccovivens;s__Caccovivens sp900753315	Hadza	Hadza_MoBio_hadza-E-H_O_22_1935	0	1	4	0	4	9
Aphodocola_sp900772415__Hadza_MoBio_hadza_E_H_P_19_2149	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_P_19_2149.139	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Aphodocola;s__Aphodocola sp900772415	Hadza	Hadza_MoBio_hadza-E-H_P_19_2149	0	0	5	0	4	9
Onthocola_B_sp000437355__Hadza_MoBio_hadza_E_H_P_7_2143	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_P_7_2143.188	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Onthocola_B;s__Onthocola_B sp000437355	Hadza	Hadza_MoBio_hadza-E-H_P_7_2143	0	2	13	2	4	21
Onthocola_B_sp934096035__Hadza_MoBio_hadza_I_L_B_20_1162	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_20_1162.44	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Onthocola_B;s__Onthocola_B sp934096035	Hadza	Hadza_MoBio_hadza-I-L_B_20_1162	0	0	12	0	4	16
CAG_826_sp000437235__Hadza_MoBio_hadza_I_L_D_12_1182	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_D_12_1182.39	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20;f__CAG-826;g__CAG-826;s__CAG-826 sp000437235	Hadza	Hadza_MoBio_hadza-I-L_D_12_1182	0	3	13	0	4	20
CAG_1000_sp004560915__Hadza_MoBio_hadza_I_L_F_16_1210	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_F_16_1210.275	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-1000;s__CAG-1000 sp004560915	Hadza	Hadza_MoBio_hadza-I-L_F_16_1210	0	0	6	0	5	11
CAG_582_sp000435515__Hadza_MoBio_hadza_I_L_K_6_2620	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_K_6_2620.195	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-582;s__CAG-582 sp000435515	Hadza	Hadza_MoBio_hadza-I-L_K_6_2620	0	1	23	1	8	33
CAG_1000_sp900556025__Hadza_MoBio_hadza_I_L_L_3_1264	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_L_3_1264.229	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-1000;s__CAG-1000 sp900556025	Hadza	Hadza_MoBio_hadza-I-L_L_3_1264	0	0	28	0	5	33
CAG_533_sp900553855__Hadza_PheChl_Fiber_Hadza_Nepal_A_10_1531	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_10_1531.126	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-533;s__CAG-533 sp900553855	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_A_10_1531	0	0	23	0	5	28
HGM10818_sp900772445__Hadza_PheChl_Fiber_Hadza_Nepal_A_14_1640	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_14_1640.348	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__HGM10818;s__HGM10818 sp900772445	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_A_14_1640	0	0	35	0	4	39
CAG_605_sp937926935__Hadza_PheChl_Fiber_Hadza_Nepal_A_8_1525	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_8_1525.274	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-605;s__CAG-605 sp937926935	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_A_8_1525	0	0	43	1	4	48
CAG_611_sp934098705__Hadza_PheChl_Fiber_Hadza_Nepal_E_4_1526	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_4_1526.264	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-611;s__CAG-611 sp934098705	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_E_4_1526	0	0	21	0	5	26
Holdemanella_sp900547815__Hadza_MoBio_C_REDO_A_8_1508	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_A_8_1508.75	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp900547815	Hadza	Hadza_MoBio_C-REDO_A_8_1508	0	0	25	0	4	29
Stercorousia_sp900556295__Hadza_MoBio_C_REDO_E_2_1553	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_E_2_1553.108	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Stercorousia;s__Stercorousia sp900556295	Hadza	Hadza_MoBio_C-REDO_E_2_1553	0	1	23	0	10	34
Aphodocola_sp000434835__Hadza_MoBio_hadza_A_D_D_19_1578	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_19_1578.9	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Aphodocola;s__Aphodocola sp000434835	Hadza	Hadza_MoBio_hadza-A-D_D_19_1578	1	2	45	0	10	58
UBA6448_sp000437315__Hadza_MoBio_hadza_A_D_H_24_1651	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_24_1651.167	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UBA6448;s__UBA6448 sp000437315	Hadza	Hadza_MoBio_hadza-A-D_H_24_1651	2	4	61	5	11	83
Zag111_sp003258735__Hadza_MoBio_hadza_E_H_D_10_2185	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_D_10_2185.64	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111 sp003258735	Hadza	Hadza_MoBio_hadza-E-H_D_10_2185	0	0	44	1	12	57
Catenibacterium_sp900764565__Hadza_MoBio_hadza_E_H_D_4_2182	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_D_4_2182.396	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium sp900764565	Hadza	Hadza_MoBio_hadza-E-H_D_4_2182	0	0	79	0	22	101
Holdemanella_biformis__Hadza_MoBio_hadza_E_H_H_11_1999	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_H_11_1999.85	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella biformis	Hadza	Hadza_MoBio_hadza-E-H_H_11_1999	7	13	4	2	9	35
Zag111_sp004558955__Hadza_MoBio_hadza_E_H_H_12_2277	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_H_12_2277.107	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag111;s__Zag111 sp004558955	Hadza	Hadza_MoBio_hadza-E-H_H_12_2277	0	0	7	0	5	12
Stercorousia_sp001765415__Hadza_MoBio_hadza_E_H_J_6_2308	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_J_6_2308.272	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Stercorousia;s__Stercorousia sp001765415	Hadza	Hadza_MoBio_hadza-E-H_J_6_2308	0	3	39	2	10	54
Bulleidia_sp905194705__Hadza_MoBio_hadza_E_H_K_14_1915	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_14_1915.122	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp905194705	Hadza	Hadza_MoBio_hadza-E-H_K_14_1915	0	0	88	0	28	116
Bulleidia_sp934754415__Hadza_MoBio_hadza_E_H_O_16_1933	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_O_16_1933.197	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp934754415	Hadza	Hadza_MoBio_hadza-E-H_O_16_1933	0	0	67	0	6	73
UBA6984_sp900550295__Hadza_MoBio_hadza_I_L_F_16_1210	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_F_16_1210.58	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA6984;s__UBA6984 sp900550295	Hadza	Hadza_MoBio_hadza-I-L_F_16_1210	0	0	8	0	4	12
SFJ001_sp934513685__Hadza_MoBio_hadza_I_L_G_18_2610	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_G_18_2610.49	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFJ001;s__SFJ001 sp934513685	Hadza	Hadza_MoBio_hadza-I-L_G_18_2610	0	1	41	0	10	52
UMGS1585_sp900553205__Hadza_MoBio_hadza_I_L_G_7_2399	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_G_7_2399.98	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UMGS1585;s__UMGS1585 sp900553205	Hadza	Hadza_MoBio_hadza-I-L_G_7_2399	0	0	18	0	5	23
UBA2883_sp900768915__Hadza_MoBio_hadza_I_L_I_19_2477	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_19_2477.275	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883;s__UBA2883 sp900768915	Hadza	Hadza_MoBio_hadza-I-L_I_19_2477	0	0	29	0	4	33
Scatousia_sp900321895__Hadza_MoBio_hadza_I_L_K_6_2620	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_K_6_2620.60	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Scatousia;s__Scatousia sp900321895	Hadza	Hadza_MoBio_hadza-I-L_K_6_2620	0	0	22	0	7	29
CAG_1193_sp934130375__Hadza_MoBio_hadza_I_L_M_1_2491	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_1_2491.25	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-1193;s__CAG-1193 sp934130375	Hadza	Hadza_MoBio_hadza-I-L_M_1_2491	0	0	45	0	4	49
UBA2883_sp002103075__Hadza_MoBio_hadza_I_L_O_11_2507	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_O_11_2507.299	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2883;s__UBA2883 sp002103075	Hadza	Hadza_MoBio_hadza-I-L_O_11_2507	0	0	12	0	4	16
UMGS1585_sp900766355__Hadza_PheChl_Fiber_Hadza_Nepal_A_12_1545	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_12_1545.144	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UMGS1585;s__UMGS1585 sp900766355	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_A_12_1545	0	0	20	0	4	24
Gemmiger_qucibialis__Hadza_PheChl_Fiber_Hadza_Nepal_C_16_2355	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_16_2355.293	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_C_16_2355	41	110	91	79	72	393
Faecalibacterium_prausnitzii_E__Hadza_PheChl_Fiber_Hadza_Nepal_E_14_1557	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_14_1557.228	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_E_14_1557	9	7	91	1	34	142
Gallispira_sp900551755__Hadza_PheChl_Fiber_Hadza_Nepal_I_10_1184	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_I_10_1184.112	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__Gallispira;s__Gallispira sp900551755	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_I_10_1184	0	0	11	0	4	15
Faecalibacterium_duncaniae__Hadza_MoBio_C_REDO_A_8_1508	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_A_8_1508.31	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae	Hadza	Hadza_MoBio_C-REDO_A_8_1508	24	22	71	22	24	163
Limiplasma_sp934643535__Hadza_MoBio_C_REDO_G_11_1585	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_G_11_1585.69	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Limiplasma;s__Limiplasma sp934643535	Hadza	Hadza_MoBio_C-REDO_G_11_1585	0	0	5	0	4	9
Gemmiger_sp900772715__Hadza_MoBio_hadza_A_D_D_14_1620	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_14_1620.4	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900772715	Hadza	Hadza_MoBio_hadza-A-D_D_14_1620	0	0	45	0	35	80
SFHK01_sp004556395__Hadza_MoBio_hadza_A_D_E_23_1060	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_23_1060.239	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__SFHK01;s__SFHK01 sp004556395	Hadza	Hadza_MoBio_hadza-A-D_E_23_1060	0	0	37	0	54	91
Angelakisella_sp900547385__Hadza_MoBio_hadza_A_D_F_1_1575	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_1_1575.8	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp900547385	Hadza	Hadza_MoBio_hadza-A-D_F_1_1575	14	36	61	28	31	170
HGM13010_sp905214605__Hadza_MoBio_hadza_A_D_F_22_1638	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_22_1638.82	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13010;s__HGM13010 sp905214605	Hadza	Hadza_MoBio_hadza-A-D_F_22_1638	0	0	16	0	19	35
Gemmiger_variabilis_B__Hadza_MoBio_hadza_A_D_F_2_1628	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_2_1628.131	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger variabilis_B	Hadza	Hadza_MoBio_hadza-A-D_F_2_1628	0	0	65	0	29	94
QAMX01_sp004555605__Hadza_MoBio_hadza_A_D_G_6_1094	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_G_6_1094.296	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__QAMX01;g__QAMX01;s__QAMX01 sp004555605	Hadza	Hadza_MoBio_hadza-A-D_G_6_1094	0	0	15	0	19	34
Angelakisella_sp004557855__Hadza_MoBio_hadza_A_D_G_8_1096	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_G_8_1096.9	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp004557855	Hadza	Hadza_MoBio_hadza-A-D_G_8_1096	1	4	41	1	24	71
Ventricola_sp900548125__Hadza_MoBio_hadza_A_D_H_22_1650	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_22_1650.105	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Ventricola;s__Ventricola sp900548125	Hadza	Hadza_MoBio_hadza-A-D_H_22_1650	0	0	28	7	15	50
Faecalibacterium_sp900758465__Hadza_MoBio_hadza_A_D_H_22_1650	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_22_1650.178	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900758465	Hadza	Hadza_MoBio_hadza-A-D_H_22_1650	0	5	16	14	8	43
Faecalibacterium_sp934548045__Hadza_MoBio_hadza_A_D_H_5_1561	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_5_1561.74	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp934548045	Hadza	Hadza_MoBio_hadza-A-D_H_5_1561	0	0	31	0	7	38
Faecalibacterium_prausnitzii__Hadza_MoBio_hadza_A_D_K_19_1040	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_19_1040.86	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	Hadza	Hadza_MoBio_hadza-A-D_K_19_1040	35	31	5	42	6	119
Gemmiger_sp900540595__Hadza_MoBio_hadza_A_D_K_19_1040	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_19_1040.95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900540595	Hadza	Hadza_MoBio_hadza-A-D_K_19_1040	10	4	47	5	11	77
